Saved -> CPU: 20.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.2% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.1% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.1% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.1% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 13.0% | Disk: 0.3%
Saved -> CPU: 0.1% | Memory: 12.8% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.8% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.9% | Disk: 0.3%
Saved -> CPU: 0.0% | Memory: 12.8% | Disk: 0.3%
